Country,Food Supply(kilocalories/person&day),Life Expectancy(in years),Number of People in Poverty on Average,Year
Solomon Islands,2200,54.4,,1980
Somalia,,48.9,,1980
South Africa,2860,59.5,0,1980
South Korea,3030,67.3,,1980
South Sudan,,53.1,,1980
Spain,3120,75.5,0.251,1980
Sri Lanka,2280,69.3,0,1980
St. Kitts and Nevis,2370,63.8,,1980
St. Lucia,2180,68.7,0,1980
St. Vincent and the Grenadines,2380,68.6,,1980
Sudan,2080,54.8,0,1980
Suriname,2400,66.8,0,1980
Sweden,2990,76.1,0,1980
Switzerland,3510,76,0,1980
Syria,,70.2,0,1980
Taiwan,2770,72.4,,1980
Tajikistan,0,65.3,0,1980
Tanzania,2220,55.4,0,1980
Thailand,2170,66.5,0,1980
Timor-Leste,2080,52,0,1980
Togo,2050,55.8,0,1980
Tonga,,68.4,,1980
Trinidad and Tobago,2990,67.6,0,1980
Tunisia,2950,66.3,0,1980
Turkey,3450,64.1,0,1980
Turkmenistan,0,63.6,0,1980
Tuvalu,,57.8,,1980
UAE,3390,67.6,,1980
Uganda,2050,50.8,0,1980
UK,3120,73.8,0,1980
Ukraine,0,69.8,0,1980
Uruguay,2820,70.6,0,1980
USA,3180,74,0,1980
USSR,3380,,,1980
Uzbekistan,0,67.5,,1980
Vanuatu,2590,62.1,,1980
Venezuela,2710,69.7,0,1980
Vietnam,1930,66.3,0,1980
Yemen,2020,53.3,0,1980
Yugoslavia,3660,,,1980
Zambia,2270,55.6,0,1980
Zimbabwe,2300,60.4,,1980
Afghanistan,2480,44.3,,1981
Albania,2680,71.3,0,1981
Algeria,2600,59.9,0,1981
Andorra,,78.4,,1981
Angola,1890,48.2,0,1981
Antigua and Barbuda,2050,72.6,,1981
Argentina,3200,70.3,0,1981
Armenia,0,70.5,0,1981
Australia,3070,74.8,0.1,1981
Austria,3350,73.1,0,1981
Azerbaijan,0,66.3,0,1981
Bahamas,2500,68.7,,1981
Bahrain,,68.7,,1981
Bangladesh,2000,53.4,0,1981
Barbados,3040,73.5,,1981
Belarus,0,71.3,0,1981
Belgium,0,73.6,0,1981
Belize,2670,71.3,0,1981
Benin,1830,53,0,1981
Bermuda,2970,,,1981
Bhutan,,53.4,0,1981
Bolivia,2070,57.3,0,1981
Bosnia and Herzegovina,0,69.9,0,1981
Botswana,1990,61.3,0,1981
Brazil,2600,63.3,17,1981
Brunei,2450,67.9,,1981
Bulgaria,3660,71.3,0,1981
Burkina Faso,1510,48.9,0,1981
Burundi,,48.7,0,1981
Cambodia,1780,52.6,0,1981
Cameroon,2180,55.8,0,1981
Canada,2900,75.5,0.169,1981
Cape Verde,2260,67.1,0,1981
Central African Republic,2320,49.3,0,1981
Chad,1620,50.8,0,1981
Chile,2700,70.5,0,1981
China,2160,64.7,838,1981
Colombia,2520,69.2,0,1981
Comoros,,54.9,0,1981
"Congo, Dem. Rep.",,52.4,0,1981
"Congo, Rep.",2030,53.5,0,1981
Costa Rica,2490,75.6,0.275,1981
Cote d'Ivoire,2980,57,0,1981
Croatia,0,70.7,0,1981
Cuba,2930,73.8,,1981
Cyprus,2480,71.6,,1981
Czech Republic,0,70.8,0,1981
Czechoslovakia,3390,,,1981
Denmark,3130,74.5,0,1981
Djibouti,1450,60.6,0,1981
Dominica,2250,71.8,,1981
Dominican Republic,2230,69.5,0,1981
Ecuador,2330,67.9,0,1981
Egypt,3000,58.6,0,1981
El Salvador,2280,58,0,1981
Equatorial Guinea,,50.7,,1981
Eritrea,,43.2,,1981
Estonia,0,69.4,0,1981
Eswatini,2380,57.7,0,1981
Ethiopia,0,45,0,1981
Fiji,2210,65.7,0,1981
Finland,3030,74.3,0,1981
France,3420,74.9,0,1981
French Polynesia,2710,,,1981
Gabon,2270,58.5,0,1981
Gambia,2040,56.5,0,1981
Georgia,0,68.8,0,1981
Germany,3270,73.5,0,1981
Ghana,1580,57.7,0,1981
Greece,3370,75.4,0,1981
Grenada,2230,69.5,,1981
Guatemala,2390,56.8,0,1981
Guinea,2440,47.7,0,1981
Guinea-Bissau,2140,45.5,0,1981
Guyana,2510,62.5,0,1981
Haiti,1990,51.7,0,1981
Honduras,2120,67.5,0,1981
"Hong Kong, China",2970,75.2,,1981
Hungary,3390,69.1,0,1981
Iceland,3300,76.7,,1981
India,2060,55.5,0,1981
Indonesia,2320,60.3,0,1981
Iran,2720,64.8,0,1981
Iraq,2830,63.6,0,1981
Ireland,3540,73,0,1981
Israel,3150,74.4,0,1981
Italy,3510,74.6,0,1981
Jamaica,2580,73.5,0,1981
Japan,2750,76.9,0,1981
Jordan,2590,67.5,0,1981
Kazakhstan,0,67,0,1981
Kenya,2270,62.5,0,1981
Kiribati,2810,54.7,,1981
Kuwait,2930,73.2,,1981
Kyrgyz Republic,0,64.8,0,1981
Lao,1950,47.9,0,1981
Latvia,0,69.2,0,1981
Lebanon,2790,69.4,,1981
Lesotho,2320,58.8,0,1981
Liberia,2520,51,0,1981
Libya,,70,,1981
Lithuania,0,70.7,0,1981
Luxembourg,0,72.7,,1981
"Macao, China",2880,,,1981
Madagascar,2440,55.1,0,1981
Malawi,2260,49.2,0,1981
Malaysia,2750,70.3,0,1981
Maldives,2290,57,0,1981
Mali,1600,46.1,0,1981
Malta,3190,73.1,,1981
Marshall Islands,,63.1,,1981
Mauritania,2160,57.1,0,1981
Mauritius,2680,67.6,,1981
Mexico,3140,66.6,0,1981
"Micronesia, Fed. Sts.",,59.9,0,1981
Moldova,0,66.1,0,1981
Monaco,,76.2,,1981
Mongolia,2330,57.7,,1981
Montenegro,0,73.7,0,1981
Morocco,2710,61.3,0,1981
Mozambique,1800,48,0,1981
Myanmar,1620,51.1,,1981
Namibia,2240,59.1,0,1981
Nauru,,62.6,,1981
Nepal,1800,52.3,0,1981
Netherlands,3020,76,0,1981
Netherlands Antilles,3740,,,1981
New Caledonia,2840,,,1981
New Zealand,3060,73.8,,1981
Nicaragua,2140,66.5,0,1981
Niger,2170,45.1,0,1981
Nigeria,1880,54.3,0,1981
North Korea,2300,64.5,,1981
North Macedonia,0,70.3,0,1981
Norway,3330,76.2,0,1981
Oman,0,62.6,,1981
Pakistan,2190,60.5,0,1981
Palau,,62.4,,1981
Palestine,,67,0,1981
Panama,2250,74.9,0,1981
Papua New Guinea,,62.2,0,1981
Paraguay,2460,73.8,0,1981
Peru,2180,64.6,0,1981
Philippines,2220,66,0,1981
Poland,3360,71.4,0,1981
Portugal,2780,72.1,,1981
Qatar,,70.4,,1981
Romania,3140,69.7,0,1981
Russia,0,68,0,1981
Rwanda,2370,49.5,0,1981
Samoa,2500,65.4,,1981
San Marino,,76.8,,1981
Sao Tome and Principe,2050,62,0,1981
Saudi Arabia,2900,66.6,,1981
Senegal,2430,53.4,0,1981
Serbia,0,69.8,0,1981
Serbia and Montenegro,0,,,1981
Seychelles,,71.1,0,1981
Sierra Leone,2110,48.5,0,1981
Singapore,,71.9,,1981
Slovak Republic,0,70.8,0,1981
Slovenia,0,71.5,0,1981
Solomon Islands,2170,54.7,,1981
Somalia,,48.9,,1981
South Africa,2830,59.8,0,1981
South Korea,2970,68.5,,1981
South Sudan,,53.2,,1981
Spain,2980,75.8,0,1981
Sri Lanka,2240,69.9,0,1981
St. Kitts and Nevis,2270,64.2,,1981
St. Lucia,2260,69.3,0,1981
St. Vincent and the Grenadines,2480,68.9,,1981
Sudan,2070,55.3,0,1981
Suriname,2310,67.5,0,1981
Sweden,2970,76.4,0.0341,1981
Switzerland,3520,76.2,0,1981
Syria,,70,0,1981
Taiwan,2720,72.7,,1981
Tajikistan,0,65.6,0,1981
Tanzania,2200,55.7,0,1981
Thailand,2200,66.9,10.6,1981
Timor-Leste,2130,53.9,0,1981
Togo,2020,56.1,0,1981
Tonga,,68.6,,1981
Trinidad and Tobago,2970,68.3,0,1981
Tunisia,2860,67,0,1981
Turkey,3340,64.6,0,1981
Turkmenistan,0,63.9,0,1981
Tuvalu,,58,,1981
UAE,3400,68,,1981
Uganda,2100,50.9,0,1981
UK,3090,74.1,0,1981
Ukraine,0,69.8,0,1981
Uruguay,2860,71.3,0,1981
USA,3220,74.3,0,1981
USSR,3360,,,1981
Uzbekistan,0,67.6,,1981
Vanuatu,2510,62.4,,1981
Venezuela,2760,69.7,0.508,1981
Vietnam,2000,66.6,0,1981
Yemen,2030,54,0,1981
Yugoslavia,3680,,,1981
Zambia,2240,55.7,0,1981
Zimbabwe,2220,61,,1981
Afghanistan,2480,44.1,,1982
Albania,2660,71.4,0,1982
Algeria,2570,60.8,0,1982
Andorra,,78.5,,1982
Angola,1760,48.2,0,1982
Antigua and Barbuda,1950,73.2,,1982
Argentina,3060,70.9,0,1982
Armenia,0,70.8,0,1982
Australia,3100,74.9,0,1982
Austria,3400,73.3,0,1982
Azerbaijan,0,66.6,0,1982
Bahamas,2750,69.4,,1982
Bahrain,,69,,1982
Bangladesh,2030,53.6,0,1982
Barbados,2930,73.9,,1982
Belarus,0,71.4,0,1982
Belgium,0,73.8,0,1982
Belize,2630,71.6,0,1982
Benin,1860,53.2,0,1982
Bermuda,2980,,,1982
Bhutan,,54.1,0,1982
Bolivia,2010,57.6,0,1982
Bosnia and Herzegovina,0,70,0,1982
Botswana,2010,61.6,0,1982
Brazil,2640,63.9,17.4,1982
Brunei,2520,68,,1982
Bulgaria,3640,71,0,1982
Burkina Faso,1670,49.5,0,1982
Burundi,,48.9,0,1982
Cambodia,1810,53.1,0,1982
Cameroon,2170,56.3,0,1982
Canada,2960,75.8,0,1982
Cape Verde,2110,66.8,0,1982
Central African Republic,2240,49.5,0,1982
Chad,1610,50.7,0,1982
Chile,2610,71,0,1982
China,2330,65.3,0,1982
Colombia,2510,69.6,0,1982
Comoros,,55.3,0,1982
"Congo, Dem. Rep.",,52.7,0,1982
"Congo, Rep.",2130,54.2,0,1982
Costa Rica,2420,75.7,0,1982
Cote d'Ivoire,2920,57.2,0,1982
Croatia,0,70.6,0,1982
Cuba,3010,74.3,,1982
Cyprus,2680,71.7,,1982
Czech Republic,0,71,0,1982
Czechoslovakia,3440,,,1982
Denmark,3090,74.7,0,1982
Djibouti,1500,60.8,0,1982
Dominica,2280,72.3,,1982
Dominican Republic,2210,69.7,0,1982
Ecuador,2340,68.4,0,1982
