Country,Food Supply(kilocalories/person&day),Life Expectancy(in years),Number of People in Poverty on Average,Year
USSR,3390,,,1983
Uzbekistan,0,67.8,,1983
Vanuatu,2630,62.8,,1983
Venezuela,2610,71.1,0,1983
Vietnam,1980,67.1,0,1983
Yemen,2060,55.5,0,1983
Yugoslavia,3680,,,1983
Zambia,2140,55.6,0,1983
Zimbabwe,2180,62,,1983
Afghanistan,2450,39.9,,1984
Albania,2720,71.4,0,1984
Algeria,2500,63.3,0,1984
Andorra,,78.6,,1984
Angola,1670,48.4,0,1984
Antigua and Barbuda,2250,73.5,,1984
Argentina,3030,70.8,0,1984
Armenia,0,71.1,0,1984
Australia,3080,75.5,0,1984
Austria,3360,73.9,0,1984
Azerbaijan,0,66.8,0,1984
Bahamas,2660,70.3,,1984
Bahrain,,69.2,,1984
Bangladesh,2030,53.6,63.9,1984
Barbados,2930,74,,1984
Belarus,0,70.5,0,1984
Belgium,0,74.3,0,1984
Belize,2500,71.9,0,1984
Benin,1980,53.6,0,1984
Bermuda,3070,,,1984
Bhutan,,55.6,0,1984
Bolivia,2000,58.5,0,1984
Bosnia and Herzegovina,0,70.2,0,1984
Botswana,2210,62.2,0,1984
Brazil,2600,64.2,20.7,1984
Brunei,2730,68.4,,1984
Bulgaria,3610,70.5,0,1984
Burkina Faso,1550,50.3,0,1984
Burundi,,49.2,0,1984
Cambodia,1860,54,0,1984
Cameroon,2060,57.1,0,1984
Canada,2990,76.3,0,1984
Cape Verde,2380,66.8,0,1984
Central African Republic,1920,49.4,0,1984
Chad,1560,51.4,0,1984
Chile,2570,71.3,0,1984
China,2430,66.1,720,1984
Colombia,2530,70.2,0,1984
Comoros,,56.2,0,1984
"Congo, Dem. Rep.",,53.4,0,1984
"Congo, Rep.",2130,55.2,0,1984
Costa Rica,2560,75.7,0,1984
Cote d'Ivoire,2860,57.3,0,1984
Croatia,0,70.7,0,1984
Cuba,3120,74.5,,1984
Cyprus,2780,72.8,,1984
Czech Republic,0,71,0,1984
Czechoslovakia,3450,,,1984
Denmark,3020,74.8,0,1984
Djibouti,1520,60.7,0,1984
Dominica,2420,72.1,,1984
Dominican Republic,2270,70,0,1984
Ecuador,2260,69.1,0,1984
Egypt,3060,60.5,0,1984
El Salvador,2260,63.1,0,1984
Equatorial Guinea,,50.8,,1984
Eritrea,,44.3,,1984
Estonia,0,69.6,0,1984
Eswatini,2450,59,0,1984
Ethiopia,0,41.5,0,1984
Fiji,2550,67,0,1984
Finland,3000,75,0,1984
France,3440,75.6,1.7,1984
French Polynesia,2780,,,1984
Gabon,2480,59.4,0,1984
Gambia,2180,59.4,0,1984
Georgia,0,69,0,1984
Germany,3390,74.6,0.265,1984
Ghana,1770,57.9,0,1984
Greece,3550,75.8,0,1984
Grenada,2100,69.5,,1984
Guatemala,2020,59.8,0,1984
Guinea,2430,49,0,1984
Guinea-Bissau,2130,46.2,0,1984
Guyana,2480,62.1,0,1984
Haiti,1880,52.7,0,1984
Honduras,2100,69,0,1984
"Hong Kong, China",3050,76,,1984
Hungary,3390,68.9,0,1984
Iceland,3200,77.3,,1984
India,2220,56.9,0,1984
Indonesia,2400,61.7,100,1984
Iran,2740,66.2,0,1984
Iraq,3210,63.4,0,1984
Ireland,3540,73.7,0,1984
Israel,3260,75.2,0,1984
Italy,3410,75.5,0,1984
Jamaica,2610,72.7,0,1984
Japan,2830,77.8,0,1984
Jordan,2600,68.7,0,1984
Kazakhstan,0,67.3,0,1984
Kenya,2040,63.3,0,1984
Kiribati,2680,54.4,,1984
Kuwait,3010,75.1,,1984
Kyrgyz Republic,0,65.3,0,1984
Lao,1910,49.8,0,1984
Latvia,0,69.6,0,1984
Lebanon,2950,65.1,,1984
Lesotho,2300,59.7,0,1984
Liberia,2410,52,0,1984
Libya,,71,,1984
Lithuania,0,70.5,0,1984
Luxembourg,0,73.5,,1984
"Macao, China",2790,,,1984
Madagascar,2390,54.7,0,1984
Malawi,2070,50,0,1984
Malaysia,2780,70,0.495,1984
Maldives,2300,60.4,0,1984
Mali,1840,47.7,0,1984
Malta,3000,74.3,,1984
Marshall Islands,,62.9,,1984
Mauritania,2420,57.5,0,1984
Mauritius,2650,69.1,,1984
Mexico,3050,68.4,9.76,1984
"Micronesia, Fed. Sts.",,60.4,0,1984
Moldova,0,65.7,0,1984
Monaco,,76.7,,1984
Mongolia,2330,58.6,,1984
Montenegro,0,72.8,0,1984
Morocco,2830,63.8,0,1984
Mozambique,1760,45.8,0,1984
Myanmar,1710,52.9,,1984
Namibia,2170,60,0,1984
Nauru,,62.4,,1984
Nepal,1930,54,0,1984
Netherlands,3110,76.4,0,1984
Netherlands Antilles,3880,,,1984
New Caledonia,2820,,,1984
New Zealand,3070,74.4,,1984
Nicaragua,2140,61.6,0,1984
Niger,2180,45.2,0,1984
Nigeria,1750,54.8,0,1984
North Korea,2070,65.8,,1984
North Macedonia,0,70.1,0,1984
Norway,3200,76.5,0,1984
Oman,0,64.3,,1984
Pakistan,2250,60.8,0,1984
Palau,,63.2,,1984
Palestine,,67.9,0,1984
Panama,2330,75.6,0,1984
Papua New Guinea,,62.2,0,1984
Paraguay,2500,74.1,0,1984
Peru,1980,65.9,0,1984
Philippines,2140,66.5,0,1984
Poland,3340,71,0,1984
Portugal,2870,73,,1984
Qatar,,72.3,,1984
Romania,3070,70,0,1984
Russia,0,67.8,0,1984
Rwanda,2240,51.4,0,1984
Samoa,2480,65.8,,1984
San Marino,,78,,1984
Sao Tome and Principe,2100,61.4,0,1984
Saudi Arabia,2720,67.3,,1984
Senegal,2310,55.7,0,1984
Serbia,0,70,0,1984
Serbia and Montenegro,0,,,1984
Seychelles,,71.5,0,1984
Sierra Leone,1960,49.2,0,1984
Singapore,,72.9,,1984
Slovak Republic,0,70.9,0,1984
Slovenia,0,71.5,0,1984
Solomon Islands,2230,55.3,,1984
Somalia,,48.8,,1984
South Africa,2840,61.3,0,1984
South Korea,3000,69.5,,1984
South Sudan,,52.6,,1984
Spain,3040,76.4,0,1984
Sri Lanka,2300,68.8,0,1984
St. Kitts and Nevis,2450,64.8,,1984
St. Lucia,2400,69.9,0,1984
St. Vincent and the Grenadines,2420,69.6,,1984
Sudan,1800,51.8,0,1984
Suriname,2650,68.6,0,1984
Sweden,3050,77.1,0,1984
Switzerland,3410,77,0,1984
Syria,,70.1,0,1984
Taiwan,2640,73.6,,1984
Tajikistan,0,66.1,0,1984
Tanzania,2240,56.5,0,1984
Thailand,2100,69.3,0,1984
Timor-Leste,2160,56.9,0,1984
Togo,1890,56.9,0,1984
Tonga,,69.6,,1984
Trinidad and Tobago,3010,68.2,0,1984
Tunisia,3050,69.4,0,1984
Turkey,3420,66.1,0,1984
Turkmenistan,0,64.7,0,1984
Tuvalu,,58.5,,1984
UAE,3650,68.4,,1984
Uganda,2190,50.7,0,1984
UK,3130,74.8,0,1984
Ukraine,0,69.8,0,1984
Uruguay,2680,71.8,0,1984
USA,3280,74.9,0,1984
USSR,3390,,,1984
Uzbekistan,0,68,,1984
Vanuatu,2750,63,,1984
Venezuela,2760,71.3,0,1984
Vietnam,2030,67.5,0,1984
Yemen,2110,56.1,0,1984
Yugoslavia,3630,,,1984
Zambia,2120,55.4,0,1984
Zimbabwe,2130,62.5,,1984
Afghanistan,2400,42,,1985
Albania,2570,71.9,0,1985
Algeria,2610,64.7,0,1985
Andorra,,78.7,,1985
Angola,1690,48.6,0,1985
Antigua and Barbuda,2190,73.8,,1985
Argentina,3120,71.7,0,1985
Armenia,0,71.3,0,1985
Australia,3120,75.6,0.106,1985
Austria,3370,74.3,0,1985
Azerbaijan,0,66.9,0,1985
Bahamas,2700,70.2,,1985
Bahrain,,69.4,,1985
Bangladesh,2070,53.8,0,1985
Barbados,2920,74,,1985
Belarus,0,71.1,0,1985
Belgium,0,74.6,0.0355,1985
Belize,2470,72.1,0,1985
Benin,1970,53.9,0,1985
Bermuda,3110,,,1985
Bhutan,,56.2,0,1985
Bolivia,2090,59.1,0,1985
Bosnia and Herzegovina,0,71.4,0,1985
Botswana,2170,62.5,0,1985
Brazil,2630,64.6,18.4,1985
Brunei,2900,68.5,,1985
Bulgaria,3600,70.4,0,1985
Burkina Faso,1730,50.6,0,1985
Burundi,,49.3,0,1985
Cambodia,1800,54.5,0,1985
Cameroon,2090,57.7,0,1985
Canada,3040,76.4,0,1985
Cape Verde,2230,67.6,0,1985
Central African Republic,1840,49.5,0,1985
Chad,1770,52.4,0,1985
Chile,2480,72,0,1985
China,2430,66.6,0,1985
Colombia,2490,67.2,0,1985
Comoros,,56.5,0,1985
"Congo, Dem. Rep.",,53.7,0,1985
"Congo, Rep.",2130,55.6,0,1985
Costa Rica,2640,75.7,0,1985
Cote d'Ivoire,2790,57.4,0.821,1985
Croatia,0,71.3,0,1985
Cuba,3130,74.2,,1985
Cyprus,2850,73.3,,1985
Czech Republic,0,71.3,0,1985
Czechoslovakia,3440,,,1985
Denmark,3170,74.8,0,1985
Djibouti,1560,60.6,0,1985
Dominica,2490,71.4,,1985
Dominican Republic,2370,70.2,0,1985
Ecuador,2230,69.9,0,1985
Egypt,3070,60.1,0,1985
El Salvador,2240,65.6,0,1985
Equatorial Guinea,,51.1,,1985
Eritrea,,44.6,,1985
Estonia,0,69.8,0,1985
Eswatini,2390,59.6,0,1985
Ethiopia,0,46.3,0,1985
Fiji,2600,66.1,0,1985
Finland,2960,74.9,0,1985
France,3490,75.8,0,1985
French Polynesia,2770,,,1985
Gabon,2460,59.8,0,1985
Gambia,2370,59.6,0,1985
Georgia,0,69.1,0,1985
Germany,3420,74.8,0,1985
Ghana,1790,58.2,0,1985
Greece,3510,75.9,0,1985
Grenada,2110,69.5,,1985
Guatemala,2200,59.4,0,1985
Guinea,2410,49.6,0,1985
Guinea-Bissau,2350,46.5,0,1985
Guyana,2470,62.6,0,1985
Haiti,1900,53,0,1985
Honduras,2140,68.9,0,1985
"Hong Kong, China",3070,76.3,,1985
Hungary,3420,68.9,0,1985
Iceland,3160,77.3,,1985
India,2160,57.3,0,1985
Indonesia,2420,62.1,0,1985
Iran,2710,66.3,0,1985
Iraq,3320,62.7,0,1985
Ireland,3580,73.8,0,1985
Israel,3320,75.6,0,1985
Italy,3410,75.8,0,1985
Jamaica,2530,73.1,0,1985
Japan,2860,78.2,0,1985
Jordan,2650,69.1,0,1985
Kazakhstan,0,67.7,0,1985
Kenya,2180,63.4,0,1985
Kiribati,2680,54.4,,1985
Kuwait,2920,75.2,,1985
Kyrgyz Republic,0,66.2,0,1985
Lao,1910,50.4,0,1985
Latvia,0,69.9,0,1985
Lebanon,2930,65.1,,1985
Lesotho,2310,60,0,1985
Liberia,2440,52.2,0,1985
Libya,,71.3,,1985
Lithuania,0,70.9,0,1985
Luxembourg,0,73.9,,1985
"Macao, China",2730,,,1985
Madagascar,2380,54.8,0,1985
Malawi,2080,50.2,0,1985
Malaysia,2670,70,0,1985
Maldives,2310,61.6,0,1985
Mali,2100,48.3,0,1985
Malta,3070,74.7,,1985
Marshall Islands,,63.1,,1985
Mauritania,2460,57.8,0,1985
Mauritius,2690,68.8,,1985
Mexico,3100,68.6,0,1985
"Micronesia, Fed. Sts.",,60.6,0,1985
Moldova,0,66.3,0,1985
Monaco,,77,,1985
Mongolia,2230,58.9,,1985
Montenegro,0,73,0,1985
Morocco,2860,64.4,2.29,1985
Mozambique,1820,45.8,0,1985
Myanmar,1670,53.4,,1985
Namibia,2110,60.2,0,1985
Nauru,,62.3,,1985
Nepal,1940,54.7,12.6,1985
Netherlands,3120,76.5,0,1985
Netherlands Antilles,2710,,,1985
New Caledonia,2770,,,1985
New Zealand,3020,74.2,,1985
Nicaragua,2160,63.3,0,1985
Niger,2120,45.5,0,1985
Nigeria,1860,54.9,0,1985
North Korea,2070,66.2,,1985
North Macedonia,0,70.5,0,1985
Norway,3200,76.3,0,1985
Oman,0,64.8,,1985
Pakistan,2190,60.9,0,1985
Palau,,63.4,,1985
Palestine,,68.1,0,1985
Panama,2470,75.3,0,1985
Papua New Guinea,,62.2,0,1985
Paraguay,2600,74.5,0,1985
Peru,2060,65.9,0,1985
Philippines,2110,66.5,21.2,1985
Poland,3360,70.8,0.0484,1985
Portugal,3010,73.3,,1985
Qatar,,72.1,,1985
Romania,3030,69.7,0,1985
Russia,0,68.5,0,1985
Rwanda,2310,51.5,3.87,1985
Samoa,2690,66,,1985
San Marino,,78.3,,1985
Sao Tome and Principe,2080,62.2,0,1985
Saudi Arabia,2700,67.5,,1985
Senegal,2420,56.2,0,1985
Serbia,0,70.4,0,1985
Serbia and Montenegro,0,,,1985
Seychelles,,71.3,0,1985
Sierra Leone,1970,49.3,0,1985
Singapore,,73.5,,1985
Slovak Republic,0,71,0,1985
Slovenia,0,72.1,0,1985
Solomon Islands,2250,55.4,,1985
Somalia,,48.7,,1985
South Africa,2890,61.9,0,1985
South Korea,2950,69.9,,1985
South Sudan,,52.7,,1985
Spain,3110,76.5,0,1985
Sri Lanka,2320,69.3,3.16,1985
St. Kitts and Nevis,2620,64.8,,1985
St. Lucia,2430,70,0,1985
St. Vincent and the Grenadines,2420,70,,1985
Sudan,2010,52.2,0,1985
Suriname,2620,69.1,0,1985
Sweden,2980,77.1,0,1985
Switzerland,3410,77.2,0,1985
Syria,,69.4,0,1985
Taiwan,2710,73.9,,1985
Tajikistan,0,66.7,0,1985
Tanzania,2260,56.6,0,1985
Thailand,2070,70,0,1985
Timor-Leste,2120,57.8,0,1985
Togo,2040,57.1,0,1985
Tonga,,69.9,,1985
Trinidad and Tobago,2890,68.3,0,1985
Tunisia,3060,70.2,0.627,1985
Turkey,3630,66.7,0,1985
Turkmenistan,0,65,0,1985
Tuvalu,,58.7,,1985
UAE,3480,68.5,,1985
Uganda,2080,50.3,0,1985
UK,3190,74.8,0,1985
Ukraine,0,70.3,0,1985
Uruguay,2650,72.3,0,1985
USA,3380,74.9,0,1985
USSR,3380,,,1985
Uzbekistan,0,68.4,,1985
Vanuatu,2790,62.9,,1985
Venezuela,2630,71.6,0,1985
Vietnam,2010,67.8,0,1985
Yemen,2060,56.7,0,1985
Yugoslavia,3610,,,1985
Zambia,2020,55.1,0,1985
Zimbabwe,2090,63,,1985
Afghanistan,2400,43.3,,1986
Albania,2690,72.3,0,1986
Algeria,2630,65.5,0,1986
Andorra,,78.8,,1986
Angola,1640,48.6,0,1986
Antigua and Barbuda,2210,74,,1986
Argentina,3030,72,0,1986
Armenia,0,71.7,0,1986
Australia,3080,76,0,1986
Austria,3430,74.7,0,1986
Azerbaijan,0,66.9,0,1986
Bahamas,2740,70,,1986
Bahrain,,69,,1986
Bangladesh,2070,55,62.3,1986
Barbados,3070,74.2,,1986
Belarus,0,72.3,0,1986
Belgium,0,74.9,0,1986
Belize,2450,72.4,0,1986
Benin,1990,54.3,0,1986
Bermuda,3070,,,1986
Bhutan,,57.1,0,1986
Bolivia,1970,59.7,0,1986
Bosnia and Herzegovina,0,71.9,0,1986
Botswana,2170,62.6,0.436,1986
Brazil,2680,65.1,13.5,1986
Brunei,2710,68.6,,1986
Bulgaria,3660,70.4,0,1986
Burkina Faso,2040,50.9,0,1986
Burundi,,49.4,0,1986
Cambodia,1780,54.9,0,1986
Cameroon,2160,57.8,0,1986
Canada,3090,76.6,0,1986
Cape Verde,2380,68,0,1986
Central African Republic,1900,49.5,0,1986
Chad,1620,52.3,0,1986
Chile,2490,72.6,0,1986
China,2420,67.1,0,1986
Colombia,2480,70.2,0,1986
Comoros,,57,0,1986
"Congo, Dem. Rep.",,53.9,0,1986
"Congo, Rep.",2120,55.6,0,1986
Costa Rica,2640,76,0.158,1986
Cote d'Ivoire,2770,57.4,0.433,1986
Croatia,0,71.6,0,1986
Cuba,3080,74.8,,1986
Cyprus,2740,73.9,,1986
Czech Republic,0,71.3,0,1986
Czechoslovakia,3480,,,1986
Denmark,3140,74.9,0,1986
Djibouti,1600,60.6,0,1986
Dominica,2710,71.4,,1986
Dominican Republic,2370,70.7,1.09,1986
Ecuador,2310,70.4,0,1986
Egypt,3060,60.6,0,1986
El Salvador,2180,66.3,0,1986
Equatorial Guinea,,51.1,,1986
Eritrea,,45.1,,1986
Estonia,0,71,0,1986
Eswatini,2430,60,0,1986
Ethiopia,0,46.9,0,1986
Fiji,2520,65.8,0,1986
Finland,2960,75,0,1986
France,3460,76,0,1986
French Polynesia,2790,,,1986
Gabon,2470,60.3,0,1986
Gambia,2560,59.9,0,1986
Georgia,0,69.1,0,1986
Germany,3410,75.1,0,1986
Ghana,1840,58.5,0,1986
Greece,3340,76.2,0,1986
Grenada,2130,69.7,,1986
Guatemala,2350,59.9,0,1986
Guinea,2450,50.1,0,1986
Guinea-Bissau,2250,46.9,0,1986
Guyana,2490,62.6,0,1986
Haiti,1880,53.4,0,1986
Honduras,2160,68.7,0.567,1986
"Hong Kong, China",3110,76.5,,1986
Hungary,3440,69.2,0,1986
Iceland,3290,77.3,,1986
India,2160,57.8,0,1986
Indonesia,2450,62.5,0,1986
Iran,2720,65.2,2.07,1986
Iraq,3420,56.6,0,1986
Ireland,3610,73.9,0,1986
Israel,3360,75.7,0,1986
Italy,3500,76.1,0,1986
Jamaica,2570,73.8,0,1986
Japan,2870,78.5,0,1986
Jordan,2610,69,0,1986
Kazakhstan,0,68.9,0,1986
Kenya,2230,63.5,0,1986
Kiribati,2610,54.4,,1986
Kuwait,2970,76.1,,1986
Kyrgyz Republic,0,67.3,0,1986
Lao,1930,50.9,0,1986
Latvia,0,71.2,0,1986
Lebanon,2950,65.9,,1986
Lesotho,2310,60.3,0,1986
Liberia,2500,52.4,0,1986
Libya,,71.7,,1986
Lithuania,0,72.4,0,1986
Luxembourg,0,74.2,,1986
"Macao, China",2710,,,1986
Madagascar,2380,54.4,0,1986
Malawi,2020,50.1,0,1986
Malaysia,2660,70.7,0,1986
Maldives,2350,62.6,0,1986
Mali,2210,49,0,1986
Malta,2950,75.3,,1986
Marshall Islands,,63.3,,1986
Mauritania,2470,58.1,0,1986
Mauritius,2760,69.2,,1986
Mexico,3060,69.2,0,1986
"Micronesia, Fed. Sts.",,60.7,0,1986
Moldova,0,67.9,0,1986
Monaco,,77.3,,1986
Mongolia,2310,59.4,,1986
Montenegro,0,73.3,0,1986
Morocco,2980,64.9,0,1986
Mozambique,1690,47.6,0,1986
Myanmar,1640,53.9,,1986
Namibia,2090,60.7,0,1986
Nauru,,62.2,,1986
Nepal,1890,55.4,0,1986
Netherlands,3130,76.6,0,1986
Netherlands Antilles,2800,,,1986
New Caledonia,2840,,,1986
New Zealand,3150,74.4,,1986
Nicaragua,2200,65.3,0,1986
Niger,2090,45.4,0,1986
Nigeria,2010,54.8,46.5,1986
North Korea,2180,66.5,,1986
North Macedonia,0,70.5,0,1986
Norway,3240,76.4,0.0142,1986
Oman,0,65.4,,1986
Pakistan,2180,61,0,1986
Palau,,63.7,,1986
Palestine,,68.4,0,1986
Panama,2510,75.6,0,1986
Papua New Guinea,,62.3,0,1986
Paraguay,2520,75.3,0,1986
Peru,2230,67,2.27,1986
Philippines,2120,66.9,0,1986
Poland,3430,71,0,1986
Portugal,3160,73.6,,1986
Qatar,,71.2,,1986
Romania,2940,69.8,0,1986
Russia,0,70.2,0,1986
Rwanda,2160,51.6,0,1986
Samoa,2580,66.2,,1986
San Marino,,78.6,,1986
Sao Tome and Principe,1940,60,0,1986
Saudi Arabia,2590,67.7,,1986
Senegal,2320,56.8,0,1986
Serbia,0,70,0,1986
Serbia and Montenegro,0,,,1986
Seychelles,,71.1,0,1986
Sierra Leone,1990,49.5,0,1986
Singapore,,74.1,,1986
Slovak Republic,0,71.2,0,1986
Slovenia,0,72.5,0,1986
Solomon Islands,2230,54.9,,1986
Somalia,,48.7,,1986
South Africa,2820,62.1,0,1986
South Korea,3000,70.3,,1986
South Sudan,,52.8,,1986
Spain,3100,76.6,0,1986
Sri Lanka,2290,69.6,0,1986
St. Kitts and Nevis,2630,64.9,,1986
St. Lucia,2460,70.1,0,1986
St. Vincent and the Grenadines,2410,70.2,,1986
Sudan,2050,57.1,0,1986
Suriname,2480,69.4,0,1986
Sweden,2980,77.3,0,1986
Switzerland,3430,77.4,0,1986
Syria,,69.4,0,1986
Taiwan,2740,74,,1986
Tajikistan,0,67.2,0,1986
Tanzania,2260,56.6,0,1986
Thailand,2100,70.7,0,1986
Timor-Leste,2110,58.5,0,1986
Togo,1850,57.3,0,1986
Tonga,,70.2,,1986
Trinidad and Tobago,3030,69,0,1986
Tunisia,3130,70.5,0,1986
Turkey,3620,67.2,0,1986
Turkmenistan,0,65.4,0,1986
Tuvalu,,59.1,,1986
UAE,3420,68.5,,1986
Uganda,2090,49.6,0,1986
UK,3210,75,0,1986
Ukraine,0,71.7,0,1986
Uruguay,2570,72.4,0,1986
USA,3350,75,1.63,1986
USSR,3360,,,1986
Uzbekistan,0,69.1,,1986
Vanuatu,2700,63.1,,1986
Venezuela,2400,72.2,0,1986
Vietnam,2070,68.1,0,1986
Yemen,2130,55.2,0,1986
Yugoslavia,3710,,,1986
Zambia,2040,54.8,0,1986
Zimbabwe,2060,63.4,,1986
Afghanistan,2730,45.9,,1987
Albania,2500,72.2,0,1987
Algeria,2630,66,0,1987
Andorra,,78.8,,1987
Angola,1630,48.6,0,1987
Antigua and Barbuda,2270,74.2,,1987
Argentina,3100,72.1,0,1987
Armenia,0,71.8,0,1987
Australia,3110,76.2,0,1987
Austria,3420,75.1,0,1987
Azerbaijan,0,66.8,0,1987
Bahamas,2740,70.2,,1987
Bahrain,,69.4,,1987
Bangladesh,2140,55.8,0,1987
Barbados,3110,74,,1987
Belarus,0,72.2,0,1987
Belgium,0,75.3,0,1987
Belize,2540,72.8,0,1987
Benin,1820,54.7,0,1987
Bermuda,3040,,,1987
Bhutan,,58,0,1987
Bolivia,1990,60.1,0,1987
Bosnia and Herzegovina,0,72,0,1987
Botswana,2180,62.7,0,1987
Brazil,2690,65.7,19.3,1987
Brunei,2670,68.9,,1987
Bulgaria,3680,70.3,0,1987
Burkina Faso,2030,50.9,0,1987
Burundi,,49.4,0,1987
Cambodia,1900,56.5,0,1987
Cameroon,2030,58.4,0,1987
Canada,3140,76.8,0.0982,1987
Cape Verde,2590,68.4,0,1987
Central African Republic,1870,49.4,0,1987
Chad,1570,51,0,1987
Chile,2490,73.2,0.727,1987
China,2440,67.3,585,1987
Colombia,2580,70.2,0,1987
Comoros,,57.4,0,1987
"Congo, Dem. Rep.",,54,0,1987
"Congo, Rep.",2160,55.4,0,1987
Costa Rica,2670,76.3,0,1987
Cote d'Ivoire,2660,57.2,0.949,1987
Croatia,0,71.4,0,1987
Cuba,3080,74.9,,1987
Cyprus,2720,74.1,,1987
Czech Republic,0,71.7,0,1987
Czechoslovakia,3490,,,1987
Denmark,3220,75,0.0523,1987
Djibouti,1560,60.6,0,1987
Dominica,2850,71.4,,1987
Dominican Republic,2300,70.7,0,1987
Ecuador,2280,69.1,1.21,1987
Egypt,3140,61.4,0,1987
El Salvador,2170,67.5,0,1987
Equatorial Guinea,,51.1,,1987
Eritrea,,45.6,,1987
Estonia,0,71.1,0,1987
Eswatini,2420,60.5,0,1987
Ethiopia,0,47.4,0,1987
Fiji,2490,66.1,0,1987
Finland,2940,75.1,0,1987
France,3530,76.5,0,1987
French Polynesia,2730,,,1987
Gabon,2430,60.5,0,1987
Gambia,2500,60,0,1987
Georgia,0,68.9,0,1987
Germany,3380,75.3,0,1987
Ghana,1940,58.7,0,1987
Greece,3460,76.4,0,1987
Grenada,2360,69.5,,1987
Guatemala,2330,60.4,3.21,1987
Guinea,2440,50.5,0,1987
Guinea-Bissau,2260,47.2,0,1987
Guyana,2520,62.8,0,1987
Haiti,1800,53.8,0,1987
Honduras,2190,69.7,0,1987
"Hong Kong, China",3170,76.8,,1987
Hungary,3600,69.6,0.00531,1987
Iceland,3210,77.7,,1987
India,2170,58.3,0,1987
Indonesia,2490,62.8,115,1987
Iran,2790,66.5,0,1987
Iraq,3450,61.9,0,1987
Ireland,3590,74.3,0.0485,1987
Israel,3440,76.1,0,1987
Italy,3520,76.5,0.758,1987
Jamaica,2620,73.4,0,1987
Japan,2900,78.9,0,1987
Jordan,2660,69.6,0,1987
Kazakhstan,0,68.8,0,1987
Kenya,2140,63.4,0,1987
Kiribati,2590,54.4,,1987
Kuwait,3010,75.8,,1987
Kyrgyz Republic,0,67.4,0,1987
Lao,1960,51.4,0,1987
Latvia,0,71.3,0,1987
Lebanon,3000,70.9,,1987
Lesotho,2280,60.4,0.87,1987
Liberia,2500,52.5,0,1987
Libya,,69.3,,1987
Lithuania,0,72.2,0,1987
Luxembourg,0,74.4,,1987
"Macao, China",2610,,,1987
Madagascar,2290,54.4,0,1987
Malawi,2000,50.1,0,1987
Malaysia,2610,71,0.401,1987
Maldives,2270,63.4,0,1987
Mali,2200,49.4,0,1987
Malta,3040,75.8,,1987
Marshall Islands,,63.4,,1987
Mauritania,2510,58.4,0.771,1987
Mauritius,2760,69.5,,1987
Mexico,2950,69.7,0,1987
"Micronesia, Fed. Sts.",,60.8,0,1987
Moldova,0,68.6,0,1987
Monaco,,77.8,,1987
Mongolia,2240,59.9,,1987
Montenegro,0,73.5,0,1987
Morocco,2970,65.3,0,1987
Mozambique,1750,47.7,0,1987
Myanmar,1630,54.3,,1987
Namibia,2140,61.1,0,1987
Nauru,,62.1,,1987
Nepal,2060,56.1,0,1987
Netherlands,3150,76.8,0.197,1987
Netherlands Antilles,2820,,,1987
New Caledonia,2900,,,1987
New Zealand,3160,74.5,,1987
Nicaragua,2130,64.2,0,1987
Niger,2130,45.8,0,1987
Nigeria,1970,54.6,0,1987
North Korea,2180,66.9,,1987
North Macedonia,0,69.9,0,1987
Norway,3310,76.3,0,1987
Oman,0,65.7,,1987
Pakistan,2240,60.9,67.3,1987
Palau,,64,,1987
Palestine,,68.1,0,1987
Panama,2250,76,0,1987
Papua New Guinea,,62.4,0,1987
Paraguay,2530,75.5,0,1987
Peru,2240,68.5,0,1987
Philippines,2140,67,0,1987
Poland,3450,71.1,0.0377,1987
Portugal,3320,73.9,,1987
Qatar,,70.8,,1987
Romania,2900,69.2,0,1987
Russia,0,70.2,0,1987
Rwanda,2080,51.8,0,1987
Samoa,2670,66.4,,1987
San Marino,,79,,1987
Sao Tome and Principe,1920,63.2,0,1987
Saudi Arabia,2570,68,,1987
Senegal,2100,57.3,0,1987
Serbia,0,69.8,0,1987
Serbia and Montenegro,0,,,1987
Seychelles,,71,0,1987
Sierra Leone,2000,50,0,1987
Singapore,,74.5,,1987
Slovak Republic,0,71.2,0,1987
Slovenia,0,72.9,0.0004,1987
Solomon Islands,2230,55.6,,1987
Somalia,,49.1,,1987
South Africa,2930,62.8,0,1987
South Korea,3070,70.6,,1987
South Sudan,,53,,1987
Spain,3150,76.8,0,1987
Sri Lanka,2230,69.9,0,1987
St. Kitts and Nevis,2680,65.2,,1987
St. Lucia,2500,70,0,1987
St. Vincent and the Grenadines,2400,70,,1987
Sudan,1970,57.4,0,1987
Suriname,2530,69.8,0,1987
Sweden,2900,77.3,0.0294,1987
Switzerland,3440,77.7,0,1987
Syria,,69.2,0,1987
Taiwan,2780,74.3,,1987
Tajikistan,0,67,0,1987
Tanzania,2270,56.4,0,1987
Thailand,2070,70.8,0,1987
Timor-Leste,2090,59.4,0,1987
Togo,1760,57.4,0,1987
Tonga,,70.5,,1987
Trinidad and Tobago,2940,68.9,0,1987
Tunisia,3110,71.2,0,1987
Turkey,3690,67.6,0.594,1987
Turkmenistan,0,65.6,0,1987
Tuvalu,,59.5,,1987
UAE,3530,68.5,,1987
Uganda,2140,50.3,0,1987
UK,3230,75.3,0,1987
Ukraine,0,71.4,0,1987
Uruguay,2610,72.5,0,1987
USA,3450,75.1,0,1987
USSR,3400,,,1987
